ladin	italian	english	resource
Paroles dantfora	Presentazione	Presentation	amervolesse
N lengaz de mendranza, per poder venjer la endesfides  del davegnir, l'à da desmostrèr sia vitalità tel temp present,  a confront coi lengac e la formes espressives del mond  de anchecondì, zenza per chest renunzièr a sia reijes più  fones.	Una lingua minore, per poter vincere le sfide del futuro, deve  saper dimostrare la propria vitalità nel tempo presente, a  confronto con i linguaggi e le forme espressive del mondo  contemporaneo, senza per questo rinunciare alle proprie radici  più profonde.	If a minority language wants to be able to win the challenges of the future, it has to demonstrate its own vitality at present, confronting contemporary languages and expressive forms without abandoning its roots.	amervolesse
De chest vers, l ladin - enceben che mence n spezifich  patrimonie local de ciant populèr, o fosc giusta per via de  chest - à dat vita a na gran produzion leterèra che se à leà  a la mùsega te la sorts più desvalives de composizions:  da la mùsega tradizionèla per cor al ciant de gejia, dal  folk alpin a la mùsega "lijiera" de stamp pop-rock, da  la cianzon d'autor enscin adertura a l'òpera lirica.	In questo senso, il ladino - nonostante l'assenza di uno specifico  partimonio indigeno di canto popolare, o forse proprio a causa  di questa - ha da tempo generato una copiosa produzione  letteraria correlata con la composizione musicale nei generi più  disparati: dalla tradizionale musica per coro al canto liturgico,  dal folk alpino alla musica leggera di estrazione pop-rock, dalla  canzone d'autore fino addirittura all'opera lirica.	In this sense, despite the absence of a specific indigenous patrimony of folk song, or maybe for this very reason, the Ladin  language has produced a large amount of literary works connected with musical composition of the various genres: from  traditional choir to sacred music, from Alpine folk to pop-rock music, from art music even to opera.	amervolesse
Dut  formes de sperimentazion espressiva e artistica che deida  dò, apede a de autra pratiches comunicatives, a smaorèr  la funzionalità del lengaz e a fèr crescer tel medemo temp  sie prestige.	Tutte forme  di sperimentazione espressiva ed artistica che contribuiscono,  accanto ad altre pratiche comunicative, ad ampliare le  funzionalità della lingua e ad accrescere al tempo stesso il suo  prestigio.	These are all forms of  expressive and artistic experimentation that help to strengthen and develop the functions of the language and at the same  time to increase its prestige.	amervolesse
Per chesta rejons l'ICL à volù sostegnir con convinzion i  projec de Emilio Galante, musicist sensìbol e engaissà, che  à dejout n percors creatif originèl portan l ladin tel teritorie  amò pech praticà de la mùsega "auta" d'aldidanché.	Per tali motivi l'ICL ha sostenuto con convinzione i progetti di Emilio Galante, musicista sensibile ed appassionato, che ha  condotto un originale percorso creativo facendo approdare  il ladino al territorio ancora poco esplorato della musica colta  contemporanea.	For all these reasons, the Ladin Cultural Institute has strongly supported Emilio Galante, a sensitive and passionate musician  whose original creative projects have led Ladin into the still little explored field of contemporary cultivated music.	amervolesse
Dò "Larjines" (2002), chesta neva produzion sporc na  desmostrazion ezelenta de cotant che n lengaz de  mendranza posse fecondèr la creazion artistica e, tel  medemo temp, esser viventà da chesta: la ousc di  contastories ladins vegn endò a ressonèr coscita ence  fora dai percorsc museai o didatics, e i versc del Poet,  ciantor modern del "fin amour", troa te la mùsega n nef  strument percacent de trasmiscion, desche al temp di  veies "trubadours" da zacan.	Dopo "Larjines" (2002), questa nuova produzione offre  un'eccellente dimostrazione di quanto una lingua minore possa  fecondare la creazione artistica ed esserne allo stesso tempo  vivificata: la voce dei "contastorie" ladini ritorna così a risuonare  anche al di fuori dei circuiti museali o didattici, ed i versi del Poeta, moderno cantore del "fin amour", trovano nella musica  un nuovo efficace veicolo di trasmissione, come al tempo degli  antichi trovatori.	After "Larjines" (2002), this new production superbly shows to what extent a minority language is able to fecundate artistic  creation and at the same time to be enlivened by it: the voice of the Ladin "storytellers" echoes outside the museum and didactic  routes once again, and the Poet's lines, like a modern singer of the "fin amour", find a new effective means of transmission in  music, as at the time of the ancient troubadours.	amervolesse
Entroduzion	Introduzione	Introduction	amervolesse
La seduzion del lengaz ladin se à empadronì de mia  creatività jà dal poem coral "Larjines" del 2002.	La fascinazione della lingua ladina si è impossessata della mia  creatività sin dal poema corale "Larjines", del 2002.	The enchantment of the Ladin language has taken hold of my creativity since the time of "Larjines", the choral poem written  in 2002.	amervolesse
Chisc neves  lurieres nasc dal comun denominator del lengaz e é ispiré  da sie carater da n vers corosif, ti scrévec smaché e nervousc  di consonanc, e da l'auter douc, ti vocai lèrc e destiré.	Questi nuovi  lavori nascono nel comun denominatore della lingua e sono  ispirati dal suo carattere per un verso corrosivo, negli schiocchi  percussivi e nervosi delle consonanti e per l'altro dolce, nelle  larghe e distese vocali.	These new works were born under the common denominator of the language and are inspired by its character, both  corrosive, with the percussive and nervous clicks of the consonants, and sweet, with the wide and relaxed vowels.	amervolesse
Te chesta òperes la relazion anter lengaz e mùsega vegn  tratèda aldò de articolazions n muie desferenzièdes.	La relazione fra lingua e musica in queste opere viene affrontata  seguendo articolazioni molto differenziate.	The relationship between language and music in these works is approached through different articulations.	amervolesse
"La tousa sul ciar dal fegn", comiscionèda del 2004 dal  festival de mùsega d'anchecondì de Busan, e "Le strie del Latemar" vegn cà da doi contìes descheche les é states  tramanèdes da la oujes de doi veies contastories, che se  pel scutèr amò te l'archif sonor de l'Istitut Cultural Ladin.	"La tousa sul ciar dal fegn", commissionata nel 2004 dal festival  di musica contemporanea di Bolzano, e "Le strie del Latemar"  nascono da due favole come ci sono pervenute nel racconto di  vecchi contastorie, le cui voci sopravvivono solo nell'archivio  sonoro dell'Istitut Cultural Ladin.	"La tousa sul ciar dal fegn", commissioned in 2004 by the contemporary music festival of Bolzano, and "Le strie del Latemar" rise  from two tales as they were told by some old storytellers, whose voices still survive in the sound archive of the Ladin Cultural Institute.	amervolesse
Sia espressiva narazion vegn trascrita te linies melodiches  che doventa l materièl olache ciapa foja la composizion, te  la oujes del flaut, de la chitara eletrica e de la ousc originèla  lurèda fora eletronicamenter e passà te n sistem compless  tras l computer.	Il loro espressivo racconto  viene trascritto in linee melodiche che diventano il materiale  sul quale le composizioni si formano, nelle voci del flauto, della  chitarra elettrica e dell'originale elaborato elettronicamente e  trasmesso con un complesso sistema attraverso il computer.	Their expressive narration is transcribed into melodic lines that become the grounds on which the compositions are  formed. The original voice is processed electronically together with the flute and the electric guitar and transmitted through an  elaborate system via computer.	amervolesse
"Amer volesse" l'é na regoeta de Lieder su tesć d'amor del  poet-pitor Claus Soraperra.	"Amer volesse" è un ciclo di Lieder su testi d'amore del poeta-pittore Claus Soraperra.	"Amer volesse" is a cycle of Lieder based on love lyrics by the poet and painter Claus Soraperra.	amervolesse
Chiò l lengaz no trasmet na  contìa folcloristica da zacan, ma l vegn durà dal poet per sia  cianties d'amor, e l doventa a chesta vida n ejempie de ladin  vif e atuèl.	In essi la lingua non è tramite di  un folcloristico racconto fiabesco ma, usata dal poeta per  esprimere i suoi intensi canti d'amore, diventa esemplificazione  di un ladino vivace ed attuale.	Their language is not a means for  conveying a folk fairy tale, rather the poet uses it in order to express his intense love songs, and it becomes the exemplification  of a lively and modern Ladin.	amervolesse
Lengaz e mùsega se bina a una respetan l percors  creatif de n Lied, olache l'é la paroles che ispirea la notes.	Lingua e musica vi si incontrano  secondo il consueto percorso creativo di un Lied che lascia alle  parole il compito di ispirare le note.	Language and music blend together according to the creative patterns of a Lied, which lets words  inspire the notes.	amervolesse
"Nia m'é restà" l'é n toch demò strumentèl.	"Nia m'é restà" è un pezzo puramente strumentale.	"Nia m'é restà" is a purely instrumental piece.	amervolesse
Dantfora la  poesìa che lo à ispirà, dita sù dal poet enstes e elaborèda  eletronicamenter.	A precederlo  la poesia che lo ha ispirato, recitata dal poeta e trattata  elettronicamente.	It is preceded by the poem that inspired it, recited by the poet himself and  electronically processed.	amervolesse
"Aagar" l'é na contìa compagnèda da dessegnes de bec.	"Aagar" è un racconto edito con i disegni di bimbi a corredarne il  testo.	"Aagar" is a tale whose text is accompanied by kids drawings.	amervolesse
