ladin	italian	english	resource
L'é stat pissà de meter jù dantfora e de ge dèr priorità a n pian coordenà de "pianificazion linguistica" per meter en esser na strategìa complessiva de intervenc da fèr te più egn, che pervedessa l'atuazion mìngol a l'outa de azion spezifiches ti setores più desvalives: da la formazion del personèl a la produzion de materièi, da la toponomastica ai segnèi sun strèda, da la tabeles daìte dai ujes, a la publicazion de la documentazion te doi lengac, dai servijes de traduzion ai neves "sportìe linguistics"	In via prioritaria si è ritenuto quindi di dover elaborare un piano coordinato di "pianificazione linguistica" per mettere in atto una strategia complessiva di interventi, nell'arco di più anni, che prevedesse la progressiva attuazione di azioni specifiche indirizzate ai più diversi settori: dalla formazione del personale alla produzione di materiali, dalla toponomastica alla cartellonistica stradale, dalle tabelle interne alla pubblicazione degli atti bilingui, dai servizi di traduzione all'apertura degli "sportelli linguistici".	As a matter of priority, therefore, it was deemed necessary to draw up a coordinated 'language planning' plan to implement an overall strategy of interventions, over several years, that would envisage the gradual implementation of specific actions aimed at the most diverse sectors: from staff training to the production of materials, from toponymy to road signs, from internal tables to the publication of bilingual acts, from translation services to the opening of 'language desks'.	intervento1
L Consei de Comun met a jir ence chi ac che é debesegn per so funzionament, e l'ejercitea ence l'autra competenzes che ge vegn dates sù da la leges, da chest Statut e dai regolamenc.	Il consiglio comunale adotta, inoltre, gli atti necessari al suo proprio funzionamento ed esercita le altre competenze assegnategli dalle leggi, dal presente Statuto e dai regolamenti.	The municipal council also adopts the acts necessary for its own functioning and exercises the other competences assigned to it by the law, this Statute and the regulations.	moena
L secretèr de Comun arsegurea che i ac fondamentai del Comun che à fazion generala, più avisa: chest Statut, i regolamenc, i bilanc e si documenc enjonté, i ac de pianificazion e de programazion del Comun, i etres ac fondamentai e generai olache l Consei de Comun à delibrà la libra consultazion da pèrt de vigni un, vegne metui a despojizion te locai de Comun che passenea, a na vida che duc posse i vardèr fora.	Il segretario comunale assicura che siano posti a disposizione in idonei locali del Comune, per la loro libera consultazione da parte di chiunque, gli atti fondamentali del Comune aventi efficacia generale, ossia: il presente Statuto, i regolamenti, i bilanci ed i documenti a questi annessi, gli atti di pianificazione e programmazione del Comune, gli altri atti fondamentali e generali per i quali il consiglio comunale abbia deliberato la libera consultazione da parte di chiunque. 	The municipal secretary shall ensure that the fundamental acts of the municipality with general effect, i.e.: this Statute, regulations, budgets and documents annexed thereto, planning and programming acts of the municipality, other fundamental and general acts for which the municipal council has resolved that they may be freely consulted by anyone, are made available in suitable premises of the municipality for free consultation by anyone. 	moena
I protocoi de deliberazion del Consei vegn sotescric dal President e dal secretèr general.	I verbali di deliberazione consiliare sono firmati dal Presidente e dal segretario generale.	The minutes of board resolutions are signed by the President and the Secretary General.	moena
Duc i ac normatives del Comun cogn vegnir fac aldò de chel che disc l Statut.	Ad esso devono conformarsi tutti gli atti normativi del Comune.	All regulatory acts of the municipality must comply with it.	moena
La comiscions de norma vegn retes da l'ombolt o da l'assessor competent per la materia, o ence da n auter conseier de Comun enciarià, tres l'ombolt, de funzions particolères aldò de l'articol 12 che vegn dò.	Le commissioni sono di norma presiedute dal sindaco o dall'assessore competente per materia o anche da altro consigliere comunale al quale il sindaco abbia attribuito particolari funzioni ai sensi del successivo articolo 12.	The commissions are normally chaired by the mayor or the councillor responsible for the matter or also by another municipal councillor to whom the mayor has assigned particular functions pursuant to Article 12 below.	moena
Dage na man a Giacomin e a Martina acioche la crepes les posse aer sie bie colores!	Aiuta Giacomino e Martina a riportare i colori sulla montagna!	Help Giacomino and Martina to bring back colour to the mountains!	montipallidi
Studiete, taa fora l lech e encolorescelo.	Presto, ritaglia il laghetto e coloralo.	Quick, cut out the lake and colour it in.	montipallidi
Tel cajo de urjenza, la delibrazions pel esser declarèdes valévoles sobitamenter tres stima data jù da la maoranza assoluta di conseieres de Comun, tel respet de chel che é pervedù te l'ultim coma de l'art. 54 de la L.R. dai 4 de jené 1993, nr 1.	In caso di urgenza, le deliberazioni possono essere dichiarate immediatamente eseguibili col voto espresso della maggioranza assoluta dei consiglieri assegnati al Comune, osservando quanto previsto dall'ultimo comma dell'art. 54 della L.R. 4 gennaio 1993, n. 1.	In the event of urgency, resolutions may be declared immediately executable by an absolute majority of the councillors assigned to the municipality, observing the provisions of the last paragraph of Article 54 of Regional Law No. 1 of 4 January 1993.	moena
Và inant col jech.	Continua il gioco.	Continue the game.	montipallidi
I podarà se goder n bel paesaje e na bela dì de soreie!	Potranno godersi il paesaggio e la splendida giornata di sole!	They can enjoy the landscape and the magnificent sunny day!	montipallidi
Estra i conseieres de Comun, la comiscions de consultazion pel tor ite ence comembres esperc ti setores de sia competenza fora dal Consei.	Le commissioni consultive possono comprendere, accanto a consiglieri comunali, anche membri esterni particolarmente esperti nelle materie attribuite alla loro competenza.	Advisory commissions may include, in addition to municipal councillors, external members who are particularly experienced in the subjects assigned to their competence.	moena
Convalidazion del lità a la encèria de ombolt.	Convalida dell'eletto alla carica di sindaco.	Validation of the person elected to the office of mayor.	moena
Te anter se tol fora, per semplizità de dessegn, chel del giudizie de Fascia (Eves): L pèster con corn, bisacia e bachet, metù te anter monc spic e adorc.	Fra gli altri spicca, per semplicità e immediatezza, quello del giudizio di Fassa (Eves): il pastore con corno, bisaccia e bastone, collocato tra alte e aspre montagne.	Among the others, that of the judgement of Fassa (Eves) stands out for its simplicity and immediacy: the shepherd with horn, saddlebag and stick, set amid high, rugged mountains.	fascia
La mudazions al capo IV de chest statut vegn aproèdes co la maoranza assoluta di componenc l Consei general.	Le modificazioni al capo IV di questo statuto sono approvate con la maggioranza assoluta dei componenti il Consei general.	Amendments to Chapter IV of these statutes are approved by an absolute majority of the members of the Consei General.	fascia
I obietives prinzipèi del projet vedea la codificazion organica e coordenèda di idiomes scric, la elaboazion de n lengaz standar da durèr tel scrit, la modernisazion e l smaorament del dizionèr e la definizion de modìe sintatics de orientament.	Gli obiettivi principali del progetto riguardano la codificazione organica e coordinata delle varietà scritte, l'elaborazione di una lingua standard di uso scritto, la modernizzazione e l'ampliamento del vocabolario e la definizione di modelli sintattici di orientamento.	The main objectives of the project concern the organic and coordinated codification of written varieties, the development of a standard language for written use, the modernisation and expansion of vocabulary and the definition of syntactic orientation models.	intervento1
Per didèr la partezipazion de la comunanza ladina fascèna e l'armonica colaborazion de sia istituzions e sociazions a la responsabilità de stravardèr e portèr inant l lengaz e la cultura ladina, l Comun general nomina na consulta ladina col dover de lurèr fora e portèr dant linees adatèdes de politica linguistica.	Al fine di favorire la partecipazione della comunità ladina fassana e l'armonica collaborazione delle sue istituzioni e associazioni alla responsabilità di tutelare e promuovere la lingua e la cultura ladina, il Comun general nomina una consulta ladina con il compito di elaborare e proporre linee adeguate di politica linguistica.	In order to favour the participation of the Fassa Ladin community and the harmonious collaboration of its institutions and associations in the responsibility of safeguarding and promoting the Ladin language and culture, the Comun general appoints a Ladin Council with the task of drawing up and proposing suitable lines of language policy.	fascia
Per centenées la comunanza de Moena à podù se manejèr co na certa autonomìa sia ressorses, che vegnìa cà per na gran pèrt dal possess comunitèr de gregn bosc' e pèscoi, e dal lurier de bachegn e artejegn.	Per secoli la comunità di Moena poté gestire in relativa autonomia le proprie risorse, fondate in gran parte sul possesso comune di vaste aree boschive e pascolive, e sull'attività di agricoltori e artigiani.	For centuries, the community of Moena was able to manage its resources in relative autonomy, based largely on the common ownership of vast areas of woodland and pastureland, and on the activities of farmers and artisans.	moena
I ofizies de Comun, tres i strumenc pervedui te chest artìcol, cogn colaborèr per didèr dò e dèr corp a la partezipazion democratica.	Gli uffici comunali sono tenuti a collaborare al fine di agevolare e rendere effettiva la partecipazione democratica mediante gli strumenti contemplati dal presente articolo. 	Municipal offices are required to cooperate in order to facilitate and make democratic participation effective through the instruments provided for in this Article. 	moena
Chest Statut va en forza dò d'aer osservà i adempimenc de lege.	Il presente Statuto entra in vigore dopo aver ottemperato agli adempimenti di legge.	This Statute enters into force once the legal requirements have been fulfilled.	moena
L les aea fates sù propio el enstes: seghitan a bater con n corn de cerf su n tòch de selesc,  l'om l'era stat bon, n mìngol a l'outa, de fèr pontes semper miores.	Le aveva costruite lui stesso: battendo ritmicamente con un corno di cervo su un pezzo di selce,  l'uomo aveva un po' alla volta ottenuto delle punte sempre più perfette.	He had made them himself: by rhythmically beating a deer horn on a piece of flint, the man had gradually obtained increasingly perfect points.	amervolesse
- Chisc... chiò!	- Questi... qui!	- These... here!	amervolesse
A la valiva moda, da chel che se lec ti "Patti Ghebardini" se n dijessa che Moena no era ite enfin dal scomenz te la Comunità de Fiem, no segur dant dal 1234.	Analogamente dalla lettura dei Patti Gebardini sembra che Moena non risulti ab origine inserita nella Comunità di Fiemme, se non a partire dal 1234.	Similarly, from a reading of the Gebardini Pacts, it appears that Moena was not originally included in the Community of Fiemme until 1234.	moena
L Consei di ombolc pel ge dèr sù al Procurador dotrei doveres spezifics limité te l'argoment en costion e tel temp.	Il Consei di ombolc può delegare al Procurador alcuni specifici compiti circoscritti nell'oggetto e nel tempo.	The Consei di ombolc may delegate to the Procurador certain specific tasks limited in scope and time.	fascia
L defen l respet de la desferenzes culturales sun so teritorie, la desvaliva rèisc, la desferenzes di lengac, de la stories personales e la libertà de religion.	Tutela il rispetto delle diversità culturali presenti sul territorio, la diversità delle origini, delle lingue e delle storie personali e la libertà religiosa.	It protects respect for cultural diversity in the territory, diversity of origins, languages and personal histories, and religious freedom.	moena
Da chiò se pel se goder n paesaje da marevea.	Da qui si vede un paesaggio bellissimo.	From here you can see a beautiful landscape.	montipallidi
I caji - apede chi pervedui da la leges en forza - olache la domandes di zitadins vegn toutes sù opura olache certa ativitèdes é da entener facoltatives, dò da na comunicazion a l'Aministrazion, per mencianza de na comunicazion de negazion, proibizion o sospenjion dant che sie fora l tèrmen pervedù dal regolament ("acort-consens").	I casi - oltre a quelli previsti dalle leggi vigenti _- in cui le istanze dei cittadini sono da intendersi accolte ovvero determinate attività sono da intendersi facoltizzate, previa comunicazione all'Amministrazione, per mancanza di alcuna comunicazione di diniego, divieto o sospensione entro il termine stabilito dal regolamento ("silenzio assenso"). 	The cases - in addition to those provided for by the laws in force _- in which citizens' requests are to be deemed granted or certain activities are to be deemed optional, subject to notification of the administration, for lack of any notice of refusal, prohibition or suspension within the time limit set by the regulation ('silence assent'). 	moena
Te la pruma aplicazion de chest statut l Consei general é metù adum dal Procurador e da trenta componenc, de chisc, catordesc lité dai consees de comun e nef lité a stima universèla estra i set ombolc che i é componenc de derit.	In sede di prima applicazione di questo statuto il Consei general è composto dal Procurador e da trenta membri, dei quali quattordici eletti dai consigli comunali e nove eletti a suffragio universale oltre ai sette sindaci che sono membri di diritto.	Upon the first application of this statute, the Consei General is composed of the Procurador and thirty members, fourteen of whom are elected by the municipal councils and nine of whom are elected by universal suffrage, in addition to the seven mayors who are members by right.	fascia
Desfament del consei e conseguenzes.	Scioglimento del consiglio e conseguenze. 	Dissolution of the council and consequences. 	moena
La Jonta comunala pel fissèr la prozedures e la modalitèdes de verificazion e de control economich del manejament e la dèsc vigni an comunicazion al Consei entornvìa l'ejit, la calità, i livìe arjonc e la speises sostegnudes per i servijes.	La giunta comunale può stabilire procedure e modalità di verifica e controllo economico della gestione e riferisce annualmente al consiglio sull'andamento, sulla qualità, sui livelli raggiunti e sui costi sostenuti per i servizi pubblici.	The municipal council may establish procedures and modalities for the economic verification and control of management and reports annually to the council on the performance, quality, levels achieved and costs incurred for public services.	moena
L pel revochèr un o più assessores col dèr na comunicazion motivèda al Consei te la pruma sentèda dò da la litazion.	Può revocare uno o più assessori dandone motivata comunicazione al consiglio nella prima seduta successiva.	It may dismiss one or more councillors by giving reasoned notice to the council at its first subsequent meeting.	moena
Vigni an la met en consaputa l Consei entornvìa la ativitèdes metudes en doura e entornvìa la situazion de realisazion del program e di pians per più egn.	Riferisce annualmente al consiglio sull'attività svolta e sullo stato di attuazione del programma e dei piani pluriennali. 	It reports annually to the council on its activities and the status of the implementation of the programme and multiannual plans. 	moena
